number,name,city,state,country,postcode,latitude,longitude,offset,description,created_at,address_id
1647,Rua Vinte E Um,São José dos Pinhais,Espírito Santo,Brazil,83299,-72.8999,-128.4729,+4:30,Kabul,2022-03-14,0
2280,Rue de L'Abbé-Grégoire,Nîmes,Haute-Corse,France,35837,37.0194,-85.9454,-9:00,Alaska,2022-03-14,1
9555,Calle de Argumosa,Alcobendas,Comunidad de Madrid,Spain,95579,-4.0402,-110.4842,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,2
2537,Paseo de Extremadura,Las Palmas de Gran Canaria,Galicia,Spain,10771,51.2199,-26.0051,-7:00,Mountain Time (US & Canada),2022-03-14,3
1421,Tara Street,Birr,Leitrim,Ireland,33396,-49.5838,-82.5437,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,4
9362,Sunset St,Spokane,Alabama,United States,94005,18.5816,31.3015,-10:00,Hawaii,2022-03-14,5
3212,Prospect Rd,Edgewood,Indiana,United States,77267,51.0263,48.7394,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,6
3323,Mühlenstraße,Wedel,Nordrhein-Westfalen,Germany,94477,35.0418,7.0809,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,7
2356,Dee Street,Gisborne,Bay of Plenty,New Zealand,31900,-60.9717,-106.0584,-2:00,Mid-Atlantic,2022-03-14,8
6657,Burgstraße,Freilassing,Sachsen-Anhalt,Germany,28331,-17.5627,17.0036,-1:00,"Azores, Cape Verde Islands",2022-03-14,9
5701,Pearse Street,Tipperary,Louth,Ireland,19437,-52.9415,-146.8002,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,10
378,Kirchplatz,Mühldorf A. Inn,Bayern,Germany,76846,13.4844,157.9113,-9:00,Alaska,2022-03-14,11
5719,Pyynikintie,Oripää,Uusimaa,Finland,37183,85.9406,-41.5955,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,12
6073,Otavalankatu,Urjala,Åland,Finland,64724,-79.6540,141.3036,-3:30,Newfoundland,2022-03-14,13
1690,Şehitler Cd,Denizli,Edirne,Turkey,38680,17.4197,14.3973,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,14
7814,High Street,Athlone,South Dublin,Ireland,18510,68.8351,33.4414,-10:00,Hawaii,2022-03-14,15
